title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year
Sinister,78,2590%,25.9,3,48.1,61.90%,29.6,38.10%,2012
Skyfall,1109,554%,5.5,200,304,27.50%,804,72.50%,2012
Sleight,4,1572%,15.7,0.25,3.9,100.00%,0,0.00%,2017
Slumdog Millionaire,378,2523%,25.2,15,141,37.40%,237,62.60%,2008
Snow White and the Huntsman,397,233%,2.3,170,155,39.20%,241,60.80%,2012
Solo: A Star Wars Story,393,131%,1.3,300,214,54.40%,179,45.60%,2018
Sonic the Hedgehog,320,355%,3.6,90,149,46.60%,171,53.40%,2020
Sonic the Hedgehog 2,403,366%,3.7,110,191,47.40%,212,52.60%,2022
Spectre,881,294%,2.9,300,200,22.70%,681,77.30%,2015
Speed,350,947%,9.5,37,121,34.60%,229,65.40%,1994
Spider-Man,825,594%,5.9,139,407,49.30%,418,50.70%,2002
Spider-Man 2,789,394%,3.9,200,374,47.40%,415,52.60%,2004
Spider-Man 3,895,358%,3.6,250,337,37.60%,558,62.40%,2007
Spider-Man: Far from Home,1132,707%,7.1,160,391,34.50%,741,65.50%,2019
Spider-Man: Homecoming,880,503%,5,175,334,38.00%,546,62.00%,2017
Spider-Man: Into the Spider-Verse,384,427%,4.3,90,190,49.50%,194,50.50%,2018
Spider-Man: No Way Home,1971,986%,9.9,200,814,41.30%,1157,58.70%,2021
Spirited Away,356,1872%,18.7,19,14,3.90%,342,96.10%,2001
Split,278,3092%,30.9,9,138.1,49.60%,140.2,50.40%,2017
Star Trek,386,257%,2.6,150,258,66.80%,128,33.20%,2009
Star Trek Beyond,343,186%,1.9,185,159,46.20%,185,53.80%,2016
Star Trek Into Darkness,467,246%,2.5,190,229,49.00%,239,51.00%,2013
Star Wars,775,7049%,70.5,11,461,59.40%,314,40.60%,1977
Suicide Squad,747,404%,4,185,325,43.50%,422,56.50%,2016
Superman Returns,391,175%,1.8,223,200,51.20%,191,48.80%,2006
Taken 2,376,836%,8.4,45,140,37.20%,236,62.80%,2012
Taken 3,326,680%,6.8,48,89,27.30%,237,72.70%,2015
Tangled,592,228%,2.3,260,201,33.90%,392,66.10%,2010
Tarzan,448,345%,3.4,130,171,38.20%,277,61.80%,1999
Ted,549,845%,8.5,65,219,39.80%,331,60.20%,2012
Teenage Mutant Ninja Turtles,485,323%,3.2,150,191,39.40%,294,60.60%,2014
Tenet,365,183%,1.8,200,59,16.00%,307,84.00%,2020
Terminator 2,521,521%,5.2,100,206,39.50%,315,60.50%,1991
Terminator 3,433,232%,2.3,187,150,34.70%,283,65.30%,2003
Terminator Genisys,441,284%,2.8,155,90,20.40%,351,79.60%,2015
Terminator Salvation,371,186%,1.9,200,125,33.80%,246,66.20%,2009
The Adventures of Tintin,374,277%,2.8,135,78,20.80%,296,79.20%,2011
The Amazing Spider-Man,758,330%,3.3,230,262,34.60%,496,65.40%,2012
The Amazing Spider-Man 2,709,242%,2.4,293,203,28.60%,506,71.40%,2014
The Angry Birds Movie,352,483%,4.8,73,108,30.50%,245,69.50%,2016
The Avengers,1519,690%,6.9,220,623,41.00%,895,59.00%,2012
The Batman,771,385%,3.9,200,369,47.90%,401,52.10%,2022
The Best Exotic Marigold Hotel,137,1368%,13.7,10,46.4,33.90%,90.4,66.10%,2012
The Big Sick,55,1105%,11.1,5,42.9,77.60%,12.4,22.40%,2017
The Blind Side ,309,1066%,10.7,29,256,82.80%,53.2,17.20%,2009
The Bodyguard,411,1644%,16.4,25,122,29.70%,289,70.30%,1992
The Boss Baby,528,422%,4.2,125,175,33.20%,353,66.80%,2017
The Bourne Ultimatum,444,404%,4,110,227,51.20%,217,48.80%,2007
The Boy Next Door,50,1254%,12.5,4,35.4,70.60%,14.7,29.40%,2015
The Campaign,105,1049%,10.5,10,86.9,82.80%,18,17.20%,2012
The Conjuring,320,1602%,16,20,137,42.90%,183,57.10%,2013
The Conjuring 2,322,805%,8,40,103,31.80%,219,68.20%,2016
The Croods,587,336%,3.4,175,187,31.90%,400,68.10%,2013
The Curious Case of Benjamin Button,336,224%,2.2,150,128,38.00%,208,62.00%,2008
The Curse of La Llorona,122.1,1357%,13.6,9,54.7,44.80%,67.4,55.20%,2019
The Da Vinci Code,760,608%,6.1,125,218,28.60%,542,71.40%,2006
The Dark Knight,1006,544%,5.4,185,535,53.20%,471,46.80%,2008
The Dark Knight Rises,1081,360%,3.6,300,448,41.40%,633,58.60%,2012
The Day After Tomorrow,553,442%,4.4,125,187,33.80%,366,66.20%,2004
The Death of Stalin,246,1895%,19,13,8,3.30%,16.6,6.70%,2017
The Devil Inside,102,10176%,101.8,1,53.3,52.30%,48.5,47.70%,2012
The Devil Wears Prada,327,933%,9.3,35,125,38.20%,202,61.80%,2006
The Exorcist,441,3678%,36.8,12,233,52.80%,208,47.20%,1973
The Expendables 2,315,315%,3.1,100,85,27.00%,230,73.00%,2012
The Fate of the Furious,1236,458%,4.6,270,226,18.30%,1010,81.70%,2017
The Fault in our Stars,307,2560%,25.6,12,124.9,40.60%,182.4,59.40%,2014
The First Purge,133,1023%,10.2,13,68.9,51.80%,64.1,48.20%,2018
The Flintstones,342,743%,7.4,46,131,38.20%,211,61.80%,1994
The Force Awakens,2070,676%,6.8,306,937,45.30%,1133,54.70%,2015
The Fugitive,369,838%,8.4,44,184,49.80%,185,50.20%,1993
The Gallows,38,38164%,381.6,0.1,22.8,59.60%,15.4,40.40%,2015
The Gift,59,1180%,11.8,5,43.8,74.20%,15.2,25.80%,2015
The Golden Compass,372,207%,2.1,180,70,18.80%,302,81.20%,2007
The Good Dinosaur,332,166%,1.7,200,123,37.00%,209,63.00%,2015
The Great Gatsby,354,186%,1.9,190,145,41.00%,209,59.00%,2013
The Greatest Showman,436,519%,5.2,84,174,40.00%,261,60.00%,2017
The Grinch,513,684%,6.8,75,271,52.90%,241,47.10%,2018
The Hangover,469,1341%,13.4,35,277,59.10%,192,40.90%,2009
The Hangover Part II,587,733%,7.3,80,254,43.40%,332,56.60%,2011
The Hangover Part III,362,351%,3.5,103,112,31.00%,250,69.00%,2013
The Hobbit: An Unexpected Journey,1017,565%,5.7,180,303,29.80%,714,70.20%,2012
The Hobbit: The Battle of the Five Armies,962,321%,3.2,300,255,26.50%,707,73.50%,2014
The Hobbit: The Desolation of Smaug,959,384%,3.8,250,258,26.90%,701,73.10%,2013
The Hunchback of Notre Dame,325,465%,4.6,70,100,30.80%,225,69.20%,1996
The Hunger Games,694,890%,8.9,78,408,58.80%,286,41.20%,2012
The Hunger Games: Catching Fire,865,1109%,11.1,78,425,49.10%,440,50.90%,2013
The Imitation Game,220,1571%,15.7,14,91.1,41.40%,128.9,58.60%,2014
The Incredibles,632,436%,4.4,145,261,41.40%,370,58.60%,2004
The Jungle Book (2016),967,546%,5.5,177,364,37.70%,603,62.30%,2016
The Karate Kid,359,898%,9,40,177,49.20%,183,50.80%,2010
The King's Speech,427,2849%,28.5,15,139,32.50%,289,67.50%,2010
The King's Speech,139,925%,9.3,15,138.8,100.00%,275.4,198.40%,2010
The Last Airbender,320,213%,2.1,150,132,41.20%,188,58.80%,2010
The Last Exorcism,41,2279%,22.8,1.8,41,100.00%,26.7,65.10%,2010
The Last Jedi,1333,420%,4.2,317,620,46.50%,713,53.50%,2017
The Last Samurai,455,325%,3.2,140,111,24.40%,344,75.60%,2003
The Lazarus Effect,64,1943%,19.4,3.3,25.8,40.20%,38.3,59.80%,2015
The Legend of Tarzan,357,198%,2,180,127,35.50%,230,64.50%,2016
The Lego Batman Movie,312,390%,3.9,80,176,56.40%,136,43.60%,2017
The Lego Movie,468,720%,7.2,65,258,55.10%,210,44.90%,2014
The Lion King,1663,640%,6.4,260,544,32.70%,1120,67.30%,2019
The Lion King,1064,2364%,23.6,45,423,39.80%,641,60.20%,1994
"The Lion, the Witch and the Wardrobe",745,414%,4.1,180,292,39.20%,453,60.80%,2005
The Lorax,349,499%,5,70,214,61.40%,135,38.60%,2012
The Lost World: Jurassic Park,619,847%,8.5,73,229,37.00%,390,63.00%,1997
The Martian,631,584%,5.8,108,228,36.20%,402,63.80%,2015
The Mask,352,1953%,19.5,18,120,34.10%,232,65.90%,1994
The Matrix,467,742%,7.4,63,172,36.80%,295,63.20%,1999
The Matrix Reloaded,742,495%,4.9,150,282,38.00%,460,62.00%,2003
The Matrix Revolutions,427,285%,2.8,150,139,32.60%,288,67.40%,2003
The Maze Runner,348,1024%,10.2,34,102,29.40%,246,70.60%,2014
The Meg,531,298%,3,178,146,27.40%,385,72.60%,2018
The Mummy,416,520%,5.2,80,155,37.40%,261,62.60%,1999
The Mummy,409,512%,5.1,80,80,19.60%,329,80.40%,2017
The Mummy Returns,443,452%,4.5,98,202,45.60%,241,54.40%,2001
The Mummy: Tomb of the Dragon Emperor,403,278%,2.8,145,102,25.40%,301,74.60%,2008
The Nun,366,1662%,16.6,22,117,32.10%,248,67.90%,2018
The Passion of the Christ,612,2040%,20.4,30,371,60.60%,241,39.40%,2004
The Perfect Storm,329,274%,2.7,120,183,55.60%,146,44.40%,2000
The Phantom Menace,1027,893%,8.9,115,475,46.20%,553,53.80%,1999
The Polar Express,315,185%,1.9,170,189,59.90%,126,40.10%,2004
The Proposal,317,793%,7.9,40,164,51.70%,153,48.30%,2009
The Purge,89,2978%,29.8,3,64.5,72.20%,24.9,27.80%,2013
The Purge: Anarchy,111,1229%,12.3,9,72,65.10%,38.6,34.90%,2014
The Purge: Election Year,118,1184%,11.8,10,79,66.70%,39.4,33.30%,2016
The Revenant,533,395%,3.9,135,184,34.50%,349,65.50%,2015
The Rise of Skywalker,1074,391%,3.9,275,515,48.00%,559,52.00%,2019
The Rock,335,447%,4.5,75,134,40.00%,201,60.00%,1996
The Secret Life of Pets,894,1192%,11.9,75,368,41.20%,526,58.80%,2016
The Secret Life of Pets 2,431,575%,5.7,75,159,36.90%,272,63.10%,2019
The Simpsons Movie,536,715%,7.2,75,183,34.10%,353,65.90%,2007
The Sixth Sense,673,1682%,16.8,40,294,43.60%,379,56.40%,1999
The Smurfs,564,512%,5.1,110,143,25.30%,421,74.70%,2011
The Smurfs 2,348,331%,3.3,105,71,20.40%,277,79.60%,2013
The SpongeBob Movie: Sponge Out of Water,325,439%,4.4,74,163,50.10%,162,49.90%,2015
The Twilight Saga: Eclipse,699,1027%,10.3,68,301,43.00%,398,57.00%,2010
The Visit,91,1819%,18.2,5,64.7,71.20%,26.2,28.80%,2015
The Voyage of the Dawn Treader,416,268%,2.7,155,104,25.10%,311,74.90%,2010
The Witch,40,1347%,13.5,3,25.1,62.20%,15.3,37.80%,2016
The Wolf of Wall Street,407,407%,4.1,100,117,28.70%,290,71.30%,2013
The Wolverine,415,314%,3.1,132,133,32.00%,282,68.00%,2013
The World Is Not Enough,362,268%,2.7,135,127,35.10%,235,64.90%,1999
There's Something About Mary,370,1608%,16.1,23,176,47.70%,193,52.30%,1998
Thor,449,300%,3,150,181,40.30%,268,59.70%,2011
Thor: Love and Thunder,761,304%,3,250,343,45.10%,418,54.90%,2022
Thor: Ragnarok,854,474%,4.7,180,315,36.90%,539,63.10%,2017
Thor: The Dark World,645,379%,3.8,170,206,32.00%,438,68.00%,2013
Titanic,2202,1101%,11,200,659,30.00%,1542,70.00%,1997
Tomorrow Never Dies,333,303%,3,110,125,37.60%,208,62.40%,1997
Top Gun,357,2382%,23.8,15,180,50.40%,177,49.60%,1986
Top Gun: Maverick,1487,875%,8.7,170,717,48.20%,770,51.80%,2022
Toy Story,394,1315%,13.1,30,223,56.60%,171,43.40%,1995
Toy Story 2,497,553%,5.5,90,246,49.40%,252,50.60%,1999
Toy Story 3,1067,533%,5.3,200,415,38.90%,652,61.10%,2010
Toy Story 4,1073,537%,5.4,200,434,40.40%,639,59.60%,2019
Transformers,710,355%,3.5,200,319,45.00%,390,55.00%,2007
Transformers: Age of Extinction,1104,526%,5.3,210,245,22.20%,859,77.80%,2014
Transformers: Dark of the Moon,1124,642%,6.4,175,352,31.40%,771,68.60%,2011
Transformers: Revenge of the Fallen,836,418%,4.2,200,402,48.10%,434,51.90%,2009
Transformers: The Last Knight,605,279%,2.8,217,130,21.50%,475,78.50%,2017
Trolls,347,278%,2.8,125,154,44.40%,193,55.60%,2016
Tron: Legacy,400,235%,2.4,170,172,43.00%,228,57.00%,2010
Troy,497,269%,2.7,185,133,26.80%,364,73.20%,2004
True Lies,379,316%,3.2,120,146,38.60%,233,61.40%,1994
Truth or Dare,95,2710%,27.1,3.5,40.7,42.90%,54.1,57.10%,2018
Twilight,408,1104%,11,37,194,47.50%,214,52.50%,2008
Twilight: Eclipse        ,301,442%,4.4,68,300.5,100.00%,398,132.40%,2010
Twilight: New Moon,711,1422%,14.2,50,298,41.90%,413,58.10%,2009
Twister,495,538%,5.4,92,242,48.90%,253,51.10%,1996
Uncharted,402,335%,3.3,120,149,37.00%,253,63.00%,2022
Under the Same Moon,23,1371%,13.7,1.7,12.6,54.00%,10.7,46.00%,2008
Up,735,420%,4.2,175,293,39.90%,442,60.10%,2009
Us,216.6,1083%,10.8,20,152.4,70.40%,64.2,29.60%,2019
Venom,856,738%,7.4,116,214,24.90%,643,75.10%,2018
Venom: Let There Be Carnage,507,461%,4.6,110,214,42.10%,293,57.90%,2021
Waitress,22,1109%,11.1,2,19.1,86.00%,3.1,14.00%,2007
WALL·E,521,290%,2.9,180,224,42.90%,298,57.10%,2008
Wanted,342,457%,4.6,75,135,39.30%,208,60.70%,2008
War for the Planet of the Apes,491,323%,3.2,152,147,29.90%,344,70.10%,2017
War of the Worlds,604,457%,4.6,132,234,38.80%,370,61.20%,2005
War Room,67,2241%,22.4,3,67.2,100.00%,0,0.00%,2015
Warcraft,439,274%,2.7,160,47,10.80%,392,89.20%,2016
What Women Want,374,534%,5.3,70,183,48.90%,191,51.10%,2000
When in Rome,33,2514%,25.1,1.3,32.7,100.00%,10.4,31.70%,2010
Who Framed Roger Rabbit,330,660%,6.6,50,156,47.40%,173,52.60%,1988
Wonder Woman,823,411%,4.1,200,413,50.20%,410,49.80%,2017
World War Z,540,284%,2.8,190,203,37.50%,338,62.50%,2013
Wreck-It Ralph,471,286%,2.9,165,189,40.20%,282,59.80%,2012
X-Men Origins: Wolverine,373,249%,2.5,150,180,48.20%,193,51.80%,2009
X-Men: Apocalypse,544,306%,3.1,178,155,28.60%,388,71.40%,2016
X-Men: Days of Future Past,746,364%,3.6,205,234,31.40%,512,68.60%,2014
X-Men: First Class,353,220%,2.2,160,146,41.50%,206,58.50%,2011
X-Men: The Last Stand,460,219%,2.2,210,234,50.90%,226,49.10%,2006
X2: X-Men United,408,371%,3.7,110,215,52.70%,193,47.30%,2003
xXx: Return of Xander Cage,346,407%,4.1,85,45,13.00%,301,87.00%,2017
Zootopia,1043,695%,7,150,341,32.70%,701,67.30%,2016
SuperMario Bros,1264,1264%,12.6,100,551,43.60%,713,56.40%,2023
Guardians of the Galaxy 3,667,267%,2.7,250,274,41.10%,392,58.80%,2023
Ant-Man: Quantumania,463,232%,2.3,200,214,46.20%,249,53.80%,2023
John Wick 4,427,427%,4.3,100,185,43.30%,241,56.40%,2023
